date,perturbation,model,mean_1m_temp_degC,mean_0_5m_temp_degC
2022-07-08,30,8,18.32548,16.42521
2022-07-09,0,1,19.021091,17.346315
2022-07-09,1,1,18.97233,17.353094
2022-07-09,2,1,18.866957,17.409962
2022-07-09,3,1,19.210123,17.24964
2022-07-09,4,1,19.39897,17.244307
2022-07-09,5,1,19.056839,17.268482
2022-07-09,6,1,18.887772,17.267962
2022-07-09,7,1,19.105087,17.346449
2022-07-09,8,1,19.024391,17.242817
2022-07-09,9,1,19.570534,17.199837
2022-07-09,10,1,19.257122,17.23412
2022-07-09,11,1,18.7977,17.358906
2022-07-09,12,1,19.312548,17.218262
2022-07-09,13,1,18.50567,17.22178
2022-07-09,14,1,18.96653,17.320189
2022-07-09,15,1,18.962973,17.342863
2022-07-09,16,1,19.31546,17.241474
2022-07-09,17,1,19.35426,17.234985
2022-07-09,18,1,19.126453,17.329048
2022-07-09,19,1,18.852928,17.302996
2022-07-09,20,1,18.66941,17.325783
2022-07-09,21,1,19.43394,17.091576
2022-07-09,22,1,18.82836,17.34683
2022-07-09,23,1,18.949646,17.320496
2022-07-09,24,1,18.866636,17.241108
2022-07-09,25,1,19.083033,17.363436
2022-07-09,26,1,18.92384,17.31007
2022-07-09,27,1,19.797882,16.930542
2022-07-09,28,1,19.159273,17.333021
2022-07-09,29,1,19.102901,17.25845
2022-07-09,30,1,18.853365,17.269075
2022-07-09,0,2,18.759756,17.21491
2022-07-09,1,2,18.706217,17.204296
2022-07-09,2,2,18.674345,17.27833
2022-07-09,3,2,18.918678,17.14425
2022-07-09,4,2,19.048527,17.075768
2022-07-09,5,2,18.78497,17.171133
2022-07-09,6,2,18.64214,17.14822
2022-07-09,7,2,18.825565,17.218542
2022-07-09,8,2,18.743586,17.088917
2022-07-09,9,2,19.122541,16.915068
2022-07-09,10,2,18.93934,17.095568
2022-07-09,11,2,18.63896,17.253967
2022-07-09,12,2,19.003666,17.098736
2022-07-09,13,2,18.452013,17.162764
2022-07-09,14,2,18.713573,17.19697
2022-07-09,15,2,18.696648,17.191887
2022-07-09,16,2,19.006098,17.105124
2022-07-09,17,2,19.01182,17.1026
2022-07-09,18,2,18.875105,17.24115
2022-07-09,19,2,18.662134,17.20484
2022-07-09,20,2,18.549086,17.216616
2022-07-09,21,2,19.063677,16.887695
2022-07-09,22,2,18.653608,17.252651
2022-07-09,23,2,18.69632,17.199429
2022-07-09,24,2,18.695082,17.170109
2022-07-09,25,2,18.80942,17.224054
2022-07-09,26,2,18.698414,17.209028
2022-07-09,27,2,19.333435,16.694763
2022-07-09,28,2,18.861286,17.208727
2022-07-09,29,2,18.85156,17.189459
2022-07-09,30,2,18.642036,17.171293
2022-07-09,0,3,18.775074,17.111042
2022-07-09,1,3,18.703434,17.090925
2022-07-09,2,3,18.68993,17.143877
2022-07-09,3,3,18.930761,17.09085
2022-07-09,4,3,19.057598,17.14227
2022-07-09,5,3,18.791601,17.066128
2022-07-09,6,3,18.632767,17.018549
2022-07-09,7,3,18.859344,17.136604
2022-07-09,8,3,18.767942,17.041718
2022-07-09,9,3,19.099194,17.155016
2022-07-09,10,3,18.950672,17.07247
2022-07-09,11,3,18.66547,17.102491
2022-07-09,12,3,19.021622,17.113878
